month_num,month,day,name,times_seen,name_variants
1,January,1,National Hangover Day,2,National Hangover Day
1,January,1,New Year's Day,1,New Year's Day ; New Year's Dishonor List Day
1,January,1,World Day of Peace,1,World Day of Peace
1,January,2,National Buffet Day,3,National Buffet Day
1,January,2,National Personal Trainer Day,2,National Personal Trainer Awareness Day ; National Personal Trainer Day
1,January,2,Swiss Cheese Day,2,Swiss Cheese Day
1,January,3,National Chocolate Covered Cherry Day,3,Chocolate Covered Cherry Day ; National Chocolate Covered Cherry Day
1,January,3,National Drinking Straw Day,2,Drinking Straw Day ; National Drinking Straw Day
1,January,4,National Spaghetti Day,3,National Spaghetti Day
1,January,4,National Trivia Day,3,National Trivia Day
1,January,5,National Bird Day,3,National Bird Day
1,January,5,National Keto Day,2,National Keto Day
1,January,5,National Whipped Cream Day,3,National Whipped Cream Day
1,January,6,National Cuddle Day,2,National Cuddle Day ; National Cuddle Up Day
1,January,6,National Take Down the Christmas Tree Day,2,National Take Down the Christmas Tree Day
1,January,7,I'm Not Going To Take It Anymore Day,2,I'm Not Going To Take It Anymore Day
1,January,7,National Bobblehead Day,3,National Bobblehead Day
1,January,7,National Pass Gas Day,2,National Pass Gas Day
1,January,8,Earth's Rotation Day,3,Earth's Rotation Day
1,January,8,National Bubble Bath Day,3,National Bubble Bath Day
1,January,8,National Snuggle a Chicken Day,1,National Snuggle a Chicken Day
1,January,9,National Apricot Day,3,National Apricot Day
1,January,9,National Law Enforcement Day,2,National Law Enforcement Appreciation Day ; National Law Enforcement Day
1,January,9,National Static Electricity Day,2,National Static Electricity Day ; Static Electricity Day
1,January,10,National Clean Off Your Desk Day,1,National Clean Off Your Desk Day
1,January,10,National Cut Your Energy Costs Day,3,National Cut Your Energy Costs Day
1,January,10,National Houseplant Appreciation Day,3,Houseplant Appreciation Day ; National Houseplant Appreciation Day
1,January,10,National Oysters Rockefeller Day,2,National Oysters Rockefeller Day
1,January,11,Cigarettes are Hazardous to Your Health Day,1,Cigarettes are Hazardous to Your Health Day
1,January,11,Learn Your Name In Morse Code Day,2,Learn Your Name In Morse Code Day ; Learn Your Name in Morse Code Day
1,January,11,National Gluten-Free Day,1,National Gluten-Free Day
1,January,11,National Hot Toddy Day,3,National Hot Toddy Day
1,January,11,National Step in a Puddle and Splash Your Friends Day,2,National Step in a Puddle and Splash Your Friends Day ; Step in a Puddle and Splash Your Friends Day
1,January,12,Kiss a Ginger Day,3,International Kiss a Ginger Day ; Kiss a Ginger Day
1,January,12,National Curried Chicken Day,2,National Curried Chicken Day
1,January,12,National Hot Tea Day,2,National Hot Tea Day
1,January,12,National Kettlebell Day,1,National Kettlebell Day
1,January,12,National Pharmacist Day,2,National Pharmacist Day
1,January,12,Work Harder Day,1,Work Harder Day
1,January,13,National Rubber Ducky Day,3,National Rubber Ducky Day
1,January,13,National Sticker Day,2,National Sticker Day
1,January,13,National Take the Stairs Day,2,National Take the Stairs Day
1,January,14,National Dress Up Your Pet Day,3,National Dress Up Your Pet Day
1,January,14,National Hot Pastrami Sandwich Day,2,National Hot Pastrami Sandwich Day
1,January,14,National Organize Your Home Day,3,National Organize Your Home Day ; Organize Your Home Day
1,January,14,Take a Missionary to Lunch Day,2,Take a Missionary to Lunch Day
1,January,15,International Fetish Day,1,International Fetish Day
1,January,15,National Bagel Day,2,National Bagel Day
1,January,15,National Fresh Squeezed Juice Day,2,National Fresh Squeezed Juice Day
1,January,15,National Hat Day,2,National Hat Day
1,January,15,National Strawberry Ice Cream Day,3,National Strawberry Ice Cream Day
1,January,16,National Boston Day,1,National Boston Day
1,January,16,National Nothing Day,3,National Nothing Day
1,January,16,National Quinoa Day,2,National Quinoa Day
1,January,16,National Tulip Day,1,National Tulip Day
1,January,16,National Use Your Gift Card Day,2,National Use Your Gift Card Day
1,January,16,Prohibition Remembrance Day,1,Prohibition Remembrance Day
1,January,16,Signing of the Peace Accords,1,Signing of the Peace Accords
1,January,17,Customer Service Day,1,Customer Service Day
1,January,17,Ditch New Year's Resolution Day,2,Ditch New Year's Resolution Day ; Ditch New Year's Resolutions Day
1,January,17,National Bootlegger's Day,1,National Bootlegger's Day
1,January,17,National Hot Buttered Rum Day,2,National Hot Buttered Rum Day
1,January,17,National Lose the Jet Lag Day,1,National Lose the Jet Lag Day
1,January,18,Civil Rights Day,1,Civil Rights Day
1,January,18,Elementary School Teacher Day,2,Elementary School Teacher Day
1,January,18,Martin Luther King Day,1,Martin Luther King Day
1,January,18,National Gourmet Coffee Day,3,National Gourmet Coffee Day
